frame,time_ns,ca_rmsd_A,ligand_rmsd_A,protein_rg_A,protein_ligand_com_distance_A,protein_ligand_min_distance_A,protein_ligand_contacts_4A
0,0.0,0.0,0.0,27.87956428527832,38.14770752439893,2.5762973839065397,124
1,0.010050251256281407,0.9920197341939876,1.5148719549179077,27.89824676513672,37.96868110834185,2.4438074497460565,178
2,0.020100502512562814,1.0138491027962782,1.424561858177185,27.925546646118164,37.61900519461003,2.3578559562342547,137
3,0.03015075376884422,1.1642945856125615,1.5761582851409912,27.985761642456055,38.11694866867496,2.2678790274047556,186
4,0.04020100502512563,1.3270414398989308,1.0033843517303467,27.897308349609375,38.27197242809992,2.4055147749567882,132
5,0.05025125628140704,1.2730417903389277,1.6595673561096191,28.005966186523438,38.50821940732517,2.536044507083064,137
6,0.06030150753768844,1.3972499233137414,1.5160882472991943,28.05945587158203,38.383220362949004,2.512341580075659,150
7,0.07035175879396985,1.6619805662338383,1.4246982336044312,28.19328498840332,38.21903363658946,2.353104260106973,154
8,0.08040201005025126,1.6869982925152534,2.6088764667510986,28.179109573364258,39.0708492406663,2.115100910145535,94
9,0.09045226130653267,1.7595648111722106,2.86895751953125,28.29470443725586,38.54767457173523,2.3268638398878516,131
10,0.10050251256281408,1.8062144459443836,2.763606071472168,28.099807739257812,37.64915093067578,2.2769128059099746,134
11,0.11055276381909548,1.8321148611022784,4.860731601715088,28.05900764465332,36.764586128173676,2.632146384303026,146
12,0.12060301507537688,1.9416323192673184,3.9728078842163086,28.258119583129883,38.128289305507884,2.6555929747027243,110
13,0.1306532663316583,1.9137354322965143,4.5784220695495605,28.181621551513672,38.230747320187746,2.419104845101899,133
14,0.1407035175879397,2.0183588596659776,4.357419490814209,28.215009689331055,39.28101743035602,2.5040562760017324,151
15,0.15075376884422112,1.955463780949354,3.4089276790618896,28.098913192749023,38.08969967492593,2.5373742749925037,130
16,0.16080402010050251,2.060180647825062,3.4495344161987305,28.251127243041992,38.09057260350178,2.439640488504186,153
17,0.1708542713567839,2.198875261677591,3.610874652862549,28.285181045532227,38.59578910651076,2.2205652916031187,138
18,0.18090452261306533,2.1241631839146433,3.03594970703125,28.361919403076172,38.2631238598065,2.446394058733114,140
