Substrate_SMILES,cluster_id,pc1,pc2,pc3,pair_count
C/C(=C/CNc1ncnc2nc[nH]c12)CO,6,0.016370375,0.13639845,-0.048915606,6
C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O)[C@@H]2CC[C@]1(O)C3,7,0.167576,0.13195351,0.24328928,2
C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O)[C@@H]2CC[C@]1(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C3,2,-0.1737866,-0.037255973,0.37918,2
C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H]2CC[C@]1(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C3,2,-0.18163836,-0.034069765,0.38353997,4
C=CC1=C(C)C(=Cc2[nH]c(Cc3[nH]c(C=C4NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)NC1=O,6,0.09186302,0.10771543,-0.022047121,4
C=CCc1ccc(O)c(OC)c1,1,0.28218126,0.08821379,-0.100722715,4
CC(=CCCC(C)=CCCC(C)CCOP(=O)(O)O)CCC=C(C)CCCC(C)C,4,-0.21568283,0.5028474,-0.34546545,2
CC(=CCCC(C)=CCCC(C)CCOP(=O)([O-])OC1OC(CO)C(O)C(O)C1O)CCC=C(C)CCCC(C)C,4,-0.47716886,0.18133481,-0.20491311,2
CC(=O)N(C)[C@H](C)[C@@H]1CC[C@@H]2[C@H]3CC=C4C[C@@H](N(C)C)CC[C@@]4(C)[C@@H]3CC[C@]21C,7,0.1990269,0.20719469,0.2413735,2
CC(=O)NC1C(O)OC(CO)C(O)C1O,2,-0.35171837,-0.06285213,0.22859198,1318
CC(=O)NC1C(O)OC(CO)C(O)C1OC1OC(C(=O)[O-])C(O)C(O)C1O,2,-0.40445623,-0.11340274,0.28235212,468
CC(=O)NC1C(O)OC(CO)C(O)C1OC1OC(CO)C(O)C(O)C1OC1OC(C)C(O)C(O)C1O,2,-0.43414173,-0.10212839,0.31225485,2
CC(=O)NC1C(O)OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C1O,2,-0.442222,-0.09278255,0.30049244,152
CC(=O)NC1C(OC2C(C(=O)[O-])OC(OC3C(O)C(CO)OC(O)C3NC(C)=O)C(O)C2O)OC(CO)C(O)C1O,2,-0.42384267,-0.10474152,0.26573184,468
CC(=O)NC1C(OC2C(CO)OC(OC3C(CO)OC(OC4C(CO)OC(OC5C(CO)OC(OC6C(NC(C)=O)C(C)OC(OP(=O)([O-])OP(=O)([O-])OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)C6NC(C)=O)C(NC(C)=O)C5O)C(NC(C)=O)C4O)C(NC(C)=O)C3O)C(NC(C)=O)C2O)OC(CO)C(O)C1O,4,-0.5835806,0.071808174,-0.20577958,2
CC(=O)NC1C(OC2C(O)C(CO)OC(OP(=O)([O-])OP(=O)([O-])OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)C2NC(C)=O)OC(CO)C(O)C1O,4,-0.6059624,0.07350749,-0.22315426,2
CC(=O)NC1C(OP(=O)([O-])OCCC(C)CCC=C(C)CCC=C(C)CCC=C(C)CCCC(C)C)OC(CO)C(O)C1O,4,-0.4997454,0.20432812,-0.20865001,2
CC(=O)NC1C(OP(=O)([O-])OP(=O)([O-])OCC2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)OC(C(=O)[O-])C(O)C1NC(C)=O,0,-0.26592886,-0.45046806,-0.19624338,2
CC(=O)NC1C(OP(=O)([O-])OP(=O)([O-])OCC2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)OC(CO)C(O)C1O,0,-0.3523363,-0.45328766,-0.18555042,4200
CC(=O)NC1C(OP(=O)([O-])OP(=O)([O-])OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)OC(CO)C(O)C1O,4,-0.5936326,0.0748548,-0.2746254,16
CC(=O)NC1C(OP(=O)([O-])OP(=O)([O-])OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)OC(CO)C(O)C1OC1OC(C)C(O)C(O)C1O,4,-0.6036719,0.051732894,-0.1699314,30
CC(=O)NC1C(OP(=O)([O-])OP(=O)([O-])OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)OC(CO)C(O)C1O,4,-0.5936326,0.0748548,-0.2746254,6
CC(=O)NC1C(OP(=O)([O-])OP(=O)([O-])OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)OC(CO)C(O)C1OC1OC(CO)C(O)C(OC2OC(CO)C(O)C(O)C2OC2OC(C)C(O)C(O)C2O)C1NC(C)=O,4,-0.6081273,0.03475797,-0.14434813,2
CC(=O)NC1C(OP(=O)([O-])OP(=O)([O-])OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)OC(CO)C(OC2OC(CO)C(OP(=O)([O-])OCC(O)COP(=O)([O-])OCC(O)COP(=O)([O-])OCC(O)C(O)C(O)CO)C(O)C2NC(C)=O)C1O,4,-0.51097167,0.11804289,-0.19114086,6
CC(=O)N[C@H]1[C@H](OP(=O)(O)OP(=O)(O)OCCC(C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC(C)=O)[C@@H]1O,4,-0.5062481,0.22927207,-0.14416718,2
CC(=O)OCC(CO)OC(C)=O,5,-0.029439794,0.20124932,0.038773958,6
CC(=O)OC[C@H]1O[C@@H](O[C@H]2[C@H](OC(C)CCCCCC/C=C/CCCCCCCC(=O)O)O[C@H](COC(C)=O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,2,-0.2567738,0.08561002,0.17521955,4
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CCC(C)CCO,4,-0.23455396,0.5692376,-0.2726097,4
CC(C)=CCC/C(C)=C/CCC(C)CCOP(=O)(O)O,4,-0.2739384,0.52778786,-0.36944863,34
CC(C)=CCC/C(C)=C/CO,4,-0.23273714,0.50947523,-0.20201688,2
CC(C)=CCCC(C)(O)[C@H]1CC[C@]2(C)C1CC[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3CC[C@]12C,7,0.020955168,0.27984884,0.15706581,4
