protein_id,sequence_hash,sequence_length,cluster_id,pc1,pc2,pc3
A0A2I4DA34,0d16d229ccaa3a25b1f4a4512f2e66f18fa36b5c47f328ca13a43aee5eaaa395,590,7,0.0101257535,-0.016954014,0.14007506
A0A518IHH7,e186cb242f95287ddfd7488df8f7e6a0f1f5c5459b548bd15fa7acc194bc9a7c,339,2,-0.11863196,0.07024904,-0.22791165
A0A9Q8PCT1,367e081b8df02f33f093ba6ea8ba6b92a3d38dda4f71e57d5436ae23196633d7,241,5,-0.46230546,-0.16398689,-0.15180211
C6TJ37,93fc96831aadf02b55b28c0a4ba54f6e6da1406e5560fdc35477168d47de174f,349,4,0.15543798,0.033695836,-0.14187294
A0A2K5HC72,1cb156588ec8fd269d6e25a2fd45ff5e88b3a8529ed959d31f2b25719ce3eba4,547,0,-0.068358175,-0.14510198,0.07088233
A0A2U3XF90,4f2e2cceb34ce6aa69998d892a5b8a79351335f6ff1e17e4b5b461a7eccb3c78,554,1,0.28326234,0.14607282,-0.111463435
A0A6I9PW52,ca8249f8ded8d036a0321162d2017668de4d307a6c4dd9fcc3504c1aff6ba20b,324,0,-0.2187813,-0.10640423,-0.062202845
Q52463,1fb850cd3a9e279b9db10ffa5507da0ee6917a92ad5f7049aaf34c836796afc1,494,4,0.08532414,0.14564566,-0.11243381
A0A068FHS2,19e5260612b956c20a677b942b0ce4a31d35e1a7410ac0eb0c86975f0d08996f,451,4,0.05195256,-0.06261096,-0.20838927
A0A0A1HA03,d0cc15a3392c7b0d6a3b098507f0230e2e612d03714e72b0861227975fce6fe0,457,4,0.083122134,0.0105915,-0.18032949
A0A0H2V630,c930e61d26021e84d3e568a1402b2e3d8cf4d1c29ad7dde46d46e6e2d4389a38,371,1,0.19811651,0.26129466,-0.122527055
A0A0H2WWR3,276f37be7d6296e70fab79a3887a7157bb65959fcd32085add7c57e86af9620f,384,2,-0.1560676,-0.09353038,-0.23981945
A0A0H5NPC9,fb5a5b039ec00d0be2479f5aa97da590efd9943591c16a6c04b03511548c6553,365,6,-0.094354235,0.32942945,-0.012876466
A0A0P0W7X0,015b4aae4b730544f472ec35f11d764cd401c5f5932caa17e63b2e42dd30c114,363,4,0.0246639,0.262047,0.019793617
A0A143GBN2,d16de44a23dc0de0d1f2429058c37baea80d1c0aee1080ac94dff3e24b6c4836,493,4,0.07882588,0.13447453,-0.13392986
A0A143QHI5,e98dde8df1a3a78ded3b75f1f96e39418d3f511babebf762ce2a11a46558bb74,341,6,-0.2590837,0.23362997,-0.040419154
A0A161HSW5,5dc4cb683b7ee632a164e4cecb71bea17c6e15399dcc794c981107b699ee8968,400,6,-0.1340244,0.42945063,0.04934728
A0A174KJT6,fe97277257ead5b5ded921b09262011fa3df39b12f8397e58c3240a8529720c8,317,5,-0.44831377,-0.11108828,-0.18224455
A0A193SHS6,102b11655a60e8d0ba025fe0b40e2512bc4dec4dc6e74e3b6961e850e07316c1,396,4,0.08436078,0.037626848,-0.20207326
A0A1P8AP70,6dedbe1addb5986e3d170611815b85f3137e5f2b9d4255779e1cb3bd57c117a1,519,4,0.21286881,-0.03880003,-0.19346175
A0A1P8B3E2,6f4a94e76a1973e1f3dec62e5bd641da0946bb2e81f43620496513b6442d3e0b,510,4,0.15073456,0.02503377,-0.15005946
A0A1Q2HNH5,7faf86cffb25e746880b40a129a0c35ed9599cdcf46e8437bb72af4de403f298,398,4,0.027657904,-0.0062151984,-0.29162604
A0A1W6LJD8,885ccede1d3b3d1a3e776ef8219a8c61d1c4ed1806c05a6cb1f5fb4a7b728279,389,4,0.047125705,0.026680384,-0.27210483
A0A239SLJ7,ea51de1022e0f370e4ec8e65f77572cf905ea59512a5d058d208a5a799b3d108,344,2,-0.3355166,0.186284,-0.100796014
A0A380YIH1,f4cebf337cff87e941316b5d3353af8b544f78e4fdcb93b33d553e4f58712e4f,317,5,-0.40735483,-0.16762389,-0.22100934
A0A384KAI6,c9091349ad14d5071ae4bc774c35a23a0e827ea0031ab7944e43bc3b29c5d79e,484,4,-0.020629691,-0.11190393,-0.1611894
A0A384KDE5,6b9cb05e896a3fa990c236b4ec92a9bcf64f7f0f61435f1c275326967fff3964,480,4,0.11728843,0.055499658,-0.13558872
A0A384KI83,76165d3aa062967f1900870b52430c79f1b26aee8a841775f92c583cbd69a383,449,4,0.007344742,-0.026935482,-0.1704174
A0A384KNH2,51bec068557f7a50510ff3182d510cdbbcbdf8584bcf26fc27ae55ca1bcb8228,479,4,0.09679775,0.075447924,-0.117220074
A0A384L7H0,3eff9566d458c59a489de041f0f8acb3e88340aeef36be51ea412a78a67b2df2,490,4,0.13369828,0.024678526,-0.1462859
A0A384LDU2,dfd0a76f653bda40847262ed607f1a88efc7c9720baf0c8346ae0bd70e1f3992,481,4,0.06844576,0.050800756,-0.13490622
A0A384LF39,7e08cc508e253936b5303b96b76ee1e8387ecaf7617aef350efabe1304e6eb9a,491,4,-0.10520712,-0.148421,-0.13900907
A0A384LJH7,ab103ae7bb2154d8b38082f6c868422a43082ae4ae77b9b4717aca29027ba366,469,4,0.0936205,-0.05746437,-0.18759006
A0A385Z7H9,3536166337c95a69b9d0dd2d60cf462ed2d96617fa840645bae1e6c8d4eef47e,477,4,0.15970014,-0.08339051,-0.2312219
A0A3Q9J7F9,9533d1a4dd644299d26c31991abc27247d33f493635775fdc9d8a25f5de12a65,337,6,-0.2871609,0.21538746,-0.059322536
A0A438FZQ3,3e013f493ae6022e18f23399e7a78aca421e2b3c5e5c0d879fe46957a9f54dd4,473,5,-0.32507157,-0.17749625,-0.08349469
A0A517VIU0,985fa174fcfbf9c2f469c92d53d07924a62a0d40509982dd3cceb53fbea44870,377,2,-0.10554067,0.06911697,-0.24469377
A0A518H151,f38d3bb4d57a4c29c8033a0dc045d584a88d7d571f6a55739cabfc04584d9244,363,6,-0.23696518,0.26033467,-0.022173697
A0A518HCP1,7234b504b1c6892d46bb2d78bc468d208b1eafecd6c8335424a0ca02735c25c6,341,2,-0.2974292,0.22031267,-0.041273203
A0A5S9X4R7,8f1622b4b7eb1d84daecc539756a9d7b427144f16427691e352995bdce0ae319,496,4,-0.08364653,-0.14242148,-0.1447947
A0A5S9YHL2,8c68b20da9effc0e800e6b6ee4f6842146a287db2dcb85c7a7341654e3c026f0,481,4,0.079327315,0.0675313,-0.13264622
A0A654ETZ0,1bab91826639def4b9f8df164c413c984d88d278525efc94eec146975592a472,470,4,0.020345772,0.07027324,-0.12682073
A0A654EV58,eab68b3ab6a2fe71edd7631d4c94919df6aa68dfc9acb091b172d7a08efc75cc,489,4,0.016417144,-0.08239487,-0.16454439
