nohup: 忽略输入
[RUN] rank074_GWHPBECS039786
[RUN] rank100_GWHPBECS025958
[RUN] rank065_GWHPBECS011179
[RUN] rank055_GWHPBECS039787
[RUN] rank001_GWHPBECS001198
[RUN] rank130_GWHPBECS026447
[RUN] rank134_GWHPBECS005379
[RUN] rank150_GWHPBECS026461
[RUN] rank024_GWHPBECS013086
[RUN] rank189_GWHPBECS034592
[RUN] rank037_GWHPBECS041210
[RUN] rank109_GWHPBECS026007
[RUN] rank040_GWHPBECS026448
[RUN] rank072_GWHPBECS019993
[RUN] rank094_GWHPBECS025961
[RUN] rank038_GWHPBECS039781
[RUN] rank025_GWHPBECS039805
[RUN] rank200_GWHPBECS041035
[RUN] rank018_GWHPBECS034039
[RUN] rank035_GWHPBECS039808
Done. See md_analysis_all/tables/extra_top20_status.csv
