sequence_hash,protein_id,header,raw_length,esmc_length,embedding_dim,embedding_shape,embedding_dtype,embedding_path,model_path,status,error
b12764a3a53b73191178b4f765af88a54affb649eb56da7930fefac534cab912,B0D060,b12764a3a53b73191178b4f765af88a54affb649eb56da7930fefac534cab912|B0D060|len=202|ids=1,202,202,1152,202x1152,float16,embeddings/b12764a3a53b73191178b4f765af88a54affb649eb56da7930fefac534cab912.pt,/data/jnz/esmc-600m/data/weights/esmc_600m_2024_12_v0.pth,ok,
d2aef5a391c6f153d479aafcc06e319d55b7bd414e4969e017b63ea6fc23530b,A0A2C9JQ23,d2aef5a391c6f153d479aafcc06e319d55b7bd414e4969e017b63ea6fc23530b|A0A2C9JQ23|len=204|ids=1,204,204,1152,204x1152,float16,embeddings/d2aef5a391c6f153d479aafcc06e319d55b7bd414e4969e017b63ea6fc23530b.pt,/data/jnz/esmc-600m/data/weights/esmc_600m_2024_12_v0.pth,ok,
213a93d5dd36ae0c2992b3bc1e6a97507cc992fd716c3078cc4f246f4ea325ac,A0A8B7N102,213a93d5dd36ae0c2992b3bc1e6a97507cc992fd716c3078cc4f246f4ea325ac|A0A8B7N102|len=204|ids=1,204,204,1152,204x1152,float16,embeddings/213a93d5dd36ae0c2992b3bc1e6a97507cc992fd716c3078cc4f246f4ea325ac.pt,/data/jnz/esmc-600m/data/weights/esmc_600m_2024_12_v0.pth,ok,
a5de19f547f4e7cbc4c24d7ce366765449c48eaf7f8ef11f2eb125d64befb050,A0A6P6JFG5,a5de19f547f4e7cbc4c24d7ce366765449c48eaf7f8ef11f2eb125d64befb050|A0A6P6JFG5|len=205|ids=1,205,205,1152,205x1152,float16,embeddings/a5de19f547f4e7cbc4c24d7ce366765449c48eaf7f8ef11f2eb125d64befb050.pt,/data/jnz/esmc-600m/data/weights/esmc_600m_2024_12_v0.pth,ok,
ab4e6da38f4e2c077bf5addae8f4e3f2dcbc82204842bffc71e0b30dbeaf0126,A0A097ARQ8,ab4e6da38f4e2c077bf5addae8f4e3f2dcbc82204842bffc71e0b30dbeaf0126|A0A097ARQ8|len=206|ids=1,206,206,1152,206x1152,float16,embeddings/ab4e6da38f4e2c077bf5addae8f4e3f2dcbc82204842bffc71e0b30dbeaf0126.pt,/data/jnz/esmc-600m/data/weights/esmc_600m_2024_12_v0.pth,ok,
e5badcc0d31244e83b254172d74b3202cebde19ceb4f618bbe69c01610b0d3c6,A0A2K8N988,e5badcc0d31244e83b254172d74b3202cebde19ceb4f618bbe69c01610b0d3c6|A0A2K8N988|len=206|ids=1,206,206,1152,206x1152,float16,embeddings/e5badcc0d31244e83b254172d74b3202cebde19ceb4f618bbe69c01610b0d3c6.pt,/data/jnz/esmc-600m/data/weights/esmc_600m_2024_12_v0.pth,ok,
24c31c48bc40b5b1e36e0ccd49b7f1d6a82fa102149a46f3eb5a8aa8c3bf7110,D3T2K5,24c31c48bc40b5b1e36e0ccd49b7f1d6a82fa102149a46f3eb5a8aa8c3bf7110|D3T2K5|len=206|ids=1,206,206,1152,206x1152,float16,embeddings/24c31c48bc40b5b1e36e0ccd49b7f1d6a82fa102149a46f3eb5a8aa8c3bf7110.pt,/data/jnz/esmc-600m/data/weights/esmc_600m_2024_12_v0.pth,ok,
22c22eae687dd7b7900fa8dae65fc6ca23975d618c557e45a897240518177e18,D5WPI8,22c22eae687dd7b7900fa8dae65fc6ca23975d618c557e45a897240518177e18|D5WPI8|len=206|ids=1,206,206,1152,206x1152,float16,embeddings/22c22eae687dd7b7900fa8dae65fc6ca23975d618c557e45a897240518177e18.pt,/data/jnz/esmc-600m/data/weights/esmc_600m_2024_12_v0.pth,ok,
89d8f9c45d69eb0a53851caff772390c23b3cf9fccf99aa40f583359b6bc4c5e,E8UT28,89d8f9c45d69eb0a53851caff772390c23b3cf9fccf99aa40f583359b6bc4c5e|E8UT28|len=206|ids=1,206,206,1152,206x1152,float16,embeddings/89d8f9c45d69eb0a53851caff772390c23b3cf9fccf99aa40f583359b6bc4c5e.pt,/data/jnz/esmc-600m/data/weights/esmc_600m_2024_12_v0.pth,ok,
008cfff98a70f3540381019063bf97fec501628aed22456415789a347cbe23f7,G2MWM9,008cfff98a70f3540381019063bf97fec501628aed22456415789a347cbe23f7|G2MWM9|len=206|ids=1,206,206,1152,206x1152,float16,embeddings/008cfff98a70f3540381019063bf97fec501628aed22456415789a347cbe23f7.pt,/data/jnz/esmc-600m/data/weights/esmc_600m_2024_12_v0.pth,ok,
0c44fc8d3ba4fbcedf0e78a494b7c66cf0a8290939c415a2f1ae9b3b3d8fe057,A0A1Y0IR30,0c44fc8d3ba4fbcedf0e78a494b7c66cf0a8290939c415a2f1ae9b3b3d8fe057|A0A1Y0IR30|len=207|ids=1,207,207,1152,207x1152,float16,embeddings/0c44fc8d3ba4fbcedf0e78a494b7c66cf0a8290939c415a2f1ae9b3b3d8fe057.pt,/data/jnz/esmc-600m/data/weights/esmc_600m_2024_12_v0.pth,ok,
