Entry	Entry Name	Protein names	Gene Names	Organism	Length	Keywords
A0A067XR63	XTH7_DIOKA	Xyloglucan endotransglucosylase protein 7 (XET protein 7) (EC 2.4.1.207) (DkXTH7) (Xyloglucan endotransglucosylase/hydrolase protein 7) (XTH protein 7)	XTH7	Diospyros kaki (Kaki persimmon) (Diospyros chinensis)	268	Cell wall biogenesis/degradation;Cytoplasm;Disulfide bond;Fruit ripening;Glycoprotein;Glycosidase;Glycosyltransferase;Hydrolase;Transferase
A0A067XRK9	XTH6_DIOKA	Xyloglucan endotransglucosylase protein 6 (XET protein 6) (EC 2.4.1.207) (DkXTH6) (Xyloglucan endotransglucosylase/hydrolase protein 6) (XTH protein 6)	XTH6	Diospyros kaki (Kaki persimmon) (Diospyros chinensis)	299	Apoplast;Cell wall;Cell wall biogenesis/degradation;Disulfide bond;Fruit ripening;Glycoprotein;Glycosidase;Glycosyltransferase;Hydrolase;Secreted;Signal;Transferase
A0A067YMX8	XTH8_DIOKA	Xyloglucan endotransglucosylase protein 8 (XET protein 8) (EC 2.4.1.207) (DkXTH8) (Xyloglucan endotransglucosylase/hydrolase protein 8) (XTH protein 8)	XTH8	Diospyros kaki (Kaki persimmon) (Diospyros chinensis)	288	Apoplast;Cell wall;Cell wall biogenesis/degradation;Disulfide bond;Fruit ripening;Glycoprotein;Glycosidase;Glycosyltransferase;Hydrolase;Secreted;Signal;Transferase
A0A068J840	UGT1_PANGI	UDP-glycosyltransferase 1 (UGTPg1) (EC 2.4.1.363)	UGT1	Panax ginseng (Korean ginseng)	475	Glycosyltransferase;Isoprene biosynthesis;Transferase
A0A0A1HA03	708C1_FAGES	UDP-glycosyltransferase 708C1 (EC 2.4.1.360) (C-glucosyltransferase a) (FeCGTa) (UDP-glucose:2-hydroxyflavanone C-glucosyltransferase)	UGT708C1 CGTa	Fagopyrum esculentum (Common buckwheat) (Polygonum fagopyrum)	457	3D-structure;Direct protein sequencing;Glycosyltransferase;Transferase
A0A0A6ZFY4	UGT29_PANGI	UDP-glucosyltransferase 29 (UGTPg29) (EC 2.4.1.365) (UDP-glucosyltransferase 94B1) (PgUGT94B1) (UDP-glucosyltransferase 94Q2) (PgUGT94Q2)	UGT29 UGT94B1 UGT94Q2	Panax ginseng (Korean ginseng)	442	3D-structure;Glycosyltransferase;Isoprene biosynthesis;Transferase
A0A0B6VIJ5	F6CGT_GENTR	Isovitexin/isoorientin synthase UF6CGT1 (EC 2.4.1.-) (UDP-glycosyltransferase UF6CGT1) (Gt6CGT) (GtUF6CGT1)	UF6CGT1 6CGT	Gentiana triflora (Clustered gentian)	477	Glycosyltransferase;Transferase
A0A0C1EH92	STMC_ASPUT	UDP-glycosyltransferase stmC (EC 2.4.1.-) (3-C-glucosyltransferase) (CGT) (Stromemycin biosynthesis cluster protein C)	stmC HK57_00631	Aspergillus ustus	535	Glycoprotein;Glycosyltransferase;Membrane;Reference proteome;Transferase;Transmembrane;Transmembrane helix
A0A0C5XL88	PART_SPHYB	Prs ADP-ribosylating toxin (EC 2.4.2.-) (Mono-ADP-ribosyltransferase) (mART)	parT yblI TZ53_17660	Sphingobium sp. (strain YBL2)	161	3D-structure;ADP-ribosylation;Glycosyltransferase;NAD;Nucleotidyltransferase;Toxin-antitoxin system;Transferase
A0A0H2URG7	GTFA_STRPN	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit (EC 2.4.1.-) (Glycosyltransferase GtfA) (O-linked N-acetyl-D-glucosamine (O-GlcNAc) transferase)	gtfA SP_1758	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	503	3D-structure;Cell membrane;Cytoplasm;Glycosyltransferase;Membrane;Nucleotide-binding;Reference proteome;Transferase
A0A0H2URJ6	GLYE_STRPN	Glycosyltransferase GlyE (PsrP glycosyltransferase GlyE)	glyE SP_1766	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	406	3D-structure;Glycosyltransferase;Manganese;Metal-binding;Nucleotide-binding;Reference proteome;Transferase
A0A0H2WWV6	TARM_STAAC	Poly(ribitol-phosphate) alpha-N-acetylglucosaminyltransferase (EC 2.4.1.70) (WTA GlcNAc-transferase)	tarM SACOL1043	Staphylococcus aureus (strain COL)	493	3D-structure;Cell wall biogenesis/degradation;Cytoplasm;Glycosyltransferase;Teichoic acid biosynthesis;Transferase
A0A0H2X5R2	NAMPT_XANC8	Nicotinamide phosphoribosyltransferase (NAM phosphoribosyltransferase) (NAMPT) (EC 2.4.2.12)	XC_0719	Xanthomonas campestris pv. campestris (strain 8004)	468	3D-structure;Glycosyltransferase;Phosphoprotein;Pyridine nucleotide biosynthesis;Transferase
A0A0H2ZMF9	PBP2A_STRP2	Penicillin-binding protein 2a (PBP2a) (Cell wall synthase PBP2a) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.99.28) (Peptidoglycan TGase) (Peptidoglycan glycosyltransferase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	pbp2a SPD_1821	Streptococcus pneumoniae serotype 2 (strain D39 / NCTC 7466)	731	Acyltransferase;Antibiotic resistance;Carboxypeptidase;Cell membrane;Cell shape;Cell wall;Cell wall biogenesis/degradation;Glycosyltransferase;Hydrolase;Membrane;Multifunctional enzyme;Peptidoglycan synthesis;Protease;Reference proteome;Secreted;Signal-anchor;Transferase;Transmembrane;Transmembrane helix
A0A0H3JNB0	TARP_STAAN	Poly(ribitol-phosphate) beta-N-acetylglucosaminyltransferase TarP (EC 2.4.1.-) (WTA glycosyltransferase)	tarP SA1808	Staphylococcus aureus (strain N315)	327	3D-structure;Cell wall biogenesis/degradation;Glycosyltransferase;Manganese;Metal-binding;Teichoic acid biosynthesis;Transferase;Virulence
A0A0H3JPC6	TARS_STAAM	Poly(ribitol-phosphate) beta-N-acetylglucosaminyltransferase TarS (EC 2.4.1.355) (Beta-O-GlcNAc transferase) (Beta-O-GlcNAc-WTA transferase) (WTA glycosyltransferase) (Wall teichoic acid beta-glycosyltransferase)	tarS SAV0258	Staphylococcus aureus (strain Mu50 / ATCC 700699)	573	3D-structure;Antibiotic resistance;Cell wall biogenesis/degradation;Glycosyltransferase;Manganese;Metal-binding;Teichoic acid biosynthesis;Transferase;Virulence
A0A0H3NK84	SSEK1_SALTS	Protein-arginine N-acetylglucosaminyltransferase SseK1 (Arginine GlcNAcyltransferase SseK1) (EC 2.4.1.-) (Salmonella secreted effector K1)	sseK1 SL1344_4096	Salmonella typhimurium (strain SL1344)	336	3D-structure;Glycoprotein;Glycosyltransferase;Host cytoplasm;Manganese;Metal-binding;Reference proteome;Secreted;Toxin;Transferase;Virulence
A0A0J9UMG2	CHS5_FUSO4	Chitin synthase V (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase V) (Class-V chitin synthase V)	chsV FOXG_04162	Fusarium oxysporum f. sp. lycopersici (strain 4287 / CBS 123668 / FGSC 9935 / NRRL 34936) (Fusarium vascular wilt of tomato)	1862	Actin-binding;ATP-binding;Cell membrane;Glycoprotein;Glycosyltransferase;Membrane;Motor protein;Myosin;Nucleotide-binding;Transferase;Transmembrane;Transmembrane helix;Virulence
A0A0K0PVW1	UGT10_PANGI	UDP-glycosyltransferase 100 (UGTPg100) (EC 2.4.1.367)	UGT100	Panax ginseng (Korean ginseng)	472	Glycosyltransferase;Hydrolase;Isoprene biosynthesis;Transferase
A0A0P0XCU3	SSY3A_ORYSJ	Soluble starch synthase 3a, chloroplastic/amyloplastic (EC 2.4.1.21) (Protein FLOURY ENDOSPERM 5) (Soluble starch synthase IIIa) (OsSSIIIa)	SSIIIA FLO5 SS3A SSIII-2 Os08g0191433 LOC_Os08g09230 OSJNBa0056O06.4-1	Oryza sativa subsp. japonica (Rice)	1875	Alternative splicing;Amyloplast;Chloroplast;Coiled coil;Glycosyltransferase;Plastid;Reference proteome;Starch biosynthesis;Transferase;Transit peptide
A0A193AU77	GGT24_PUNGR	Gallate 1-beta-glucosyltransferase 84A24 (EC 2.4.1.136) (UDP-glucose:gallate glucosyltransferase) (UDP-glycosyltransferase 84A24) (EC 2.4.1.120, EC 2.4.1.170, EC 2.4.1.177, EC 2.4.1.194, EC 2.4.1.81)	UGT84A24 CRG98_007995	Punica granatum (Pomegranate)	517	Cytoplasm;Glycosyltransferase;Reference proteome;Transferase
A0A193AUF6	GGT23_PUNGR	Gallate 1-beta-glucosyltransferase 84A23 (EC 2.4.1.136) (UDP-glucose:gallate glucosyltransferase) (UDP-glycosyltransferase 84A23) (EC 2.4.1.120, EC 2.4.1.170, EC 2.4.1.177, EC 2.4.1.194, EC 2.4.1.81)	UGT84A23 CDL15_Pgr003363 CRG98_046055	Punica granatum (Pomegranate)	506	Cytoplasm;Glycosyltransferase;Reference proteome;Transferase
A0A1S6M251	B4GT5_PIG	Beta-1,4-galactosyltransferase 5 (Beta-1,4-GalTase 5) (Beta4Gal-T5) (b4Gal-T5) (EC 2.4.1.-) (Beta-1,4-GalT II) (Glucosylceramide beta-1,4-galactosyltransferase) (EC 2.4.1.274) (Lactosylceramide synthase) (LacCer synthase) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 5) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 5)	B4GALT5	Sus scrofa (Pig)	388	Disulfide bond;Glycoprotein;Glycosyltransferase;Golgi apparatus;Lipid biosynthesis;Lipid metabolism;Manganese;Membrane;Metal-binding;Reference proteome;Signal-anchor;Sphingolipid metabolism;Transferase;Transmembrane;Transmembrane helix
