candidate,source_dir,status,production_ns,platform,gpu_id,n_atoms,trajectory,final_pdb,log
rank001_GWHPBECS001198,neg_fix_v1_top10,done,2.0,OpenMM-CUDA,0,75786,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top10/rank001_GWHPBECS001198/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top10/rank001_GWHPBECS001198/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top10/rank001_GWHPBECS001198/outputs/prod.log
rank002_GWHPBECS032946,neg_fix_v1_top10,done,2.0,OpenMM-CUDA,0,76647,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top10/rank002_GWHPBECS032946/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top10/rank002_GWHPBECS032946/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top10/rank002_GWHPBECS032946/outputs/prod.log
rank003_GWHPBECS031879,neg_fix_v1_top10,done,2.0,OpenMM-CUDA,0,80739,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top10/rank003_GWHPBECS031879/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top10/rank003_GWHPBECS031879/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top10/rank003_GWHPBECS031879/outputs/prod.log
rank004_GWHPBECS023846,neg_fix_v1_top10,done,2.0,OpenMM-CUDA,0,64919,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top10/rank004_GWHPBECS023846/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top10/rank004_GWHPBECS023846/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top10/rank004_GWHPBECS023846/outputs/prod.log
rank005_GWHPBECS023836,neg_fix_v1_top10,done,2.0,OpenMM-CUDA,0,63632,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top10/rank005_GWHPBECS023836/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top10/rank005_GWHPBECS023836/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top10/rank005_GWHPBECS023836/outputs/prod.log
rank006_GWHPBECS024446,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,71869,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank006_GWHPBECS024446/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank006_GWHPBECS024446/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank006_GWHPBECS024446/outputs/prod.log
rank007_GWHPBECS041244,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,65274,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank007_GWHPBECS041244/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank007_GWHPBECS041244/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank007_GWHPBECS041244/outputs/prod.log
rank008_GWHPBECS005891,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,71071,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank008_GWHPBECS005891/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank008_GWHPBECS005891/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank008_GWHPBECS005891/outputs/prod.log
rank009_GWHPBECS041263,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,59713,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank009_GWHPBECS041263/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank009_GWHPBECS041263/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank009_GWHPBECS041263/outputs/prod.log
rank010_GWHPBECS005377,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,67663,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank010_GWHPBECS005377/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank010_GWHPBECS005377/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank010_GWHPBECS005377/outputs/prod.log
rank011_GWHPBECS041243,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,68004,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank011_GWHPBECS041243/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank011_GWHPBECS041243/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank011_GWHPBECS041243/outputs/prod.log
rank012_GWHPBECS006191,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,68380,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank012_GWHPBECS006191/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank012_GWHPBECS006191/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank012_GWHPBECS006191/outputs/prod.log
rank013_GWHPBECS041259,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,57190,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank013_GWHPBECS041259/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank013_GWHPBECS041259/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank013_GWHPBECS041259/outputs/prod.log
rank014_GWHPBECS036195,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,76120,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank014_GWHPBECS036195/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank014_GWHPBECS036195/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank014_GWHPBECS036195/outputs/prod.log
rank015_GWHPBECS041203,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,57515,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank015_GWHPBECS041203/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank015_GWHPBECS041203/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank015_GWHPBECS041203/outputs/prod.log
rank016_GWHPBECS019991,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,67669,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank016_GWHPBECS019991/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank016_GWHPBECS019991/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank016_GWHPBECS019991/outputs/prod.log
rank017_GWHPBECS039819,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,85047,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank017_GWHPBECS039819/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank017_GWHPBECS039819/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank017_GWHPBECS039819/outputs/prod.log
