nohup: 忽略输入
[RUN] rank002_GWHPBECS032946
[RUN] rank003_GWHPBECS031879
[RUN] rank004_GWHPBECS023846
[RUN] rank005_GWHPBECS023836
[RUN] rank006_GWHPBECS024446
[RUN] rank007_GWHPBECS041244
[RUN] rank008_GWHPBECS005891
[RUN] rank009_GWHPBECS041263
[RUN] rank010_GWHPBECS005377
[RUN] rank011_GWHPBECS041243
[RUN] rank012_GWHPBECS006191
[RUN] rank013_GWHPBECS041259
[RUN] rank014_GWHPBECS036195
[RUN] rank015_GWHPBECS041203
[RUN] rank016_GWHPBECS019991
[RUN] rank017_GWHPBECS039819
[RUN] rank018_GWHPBECS034039
[RUN] rank019_GWHPBECS041202
[RUN] rank020_GWHPBECS023843
[RUN] rank021_GWHPBECS039810
[RUN] rank022_GWHPBECS041249
[RUN] rank023_GWHPBECS023832
[RUN] rank024_GWHPBECS013086
[RUN] rank025_GWHPBECS039805
[RUN] rank026_GWHPBECS005381
[RUN] rank027_GWHPBECS005593
[RUN] rank028_GWHPBECS041157
[RUN] rank029_GWHPBECS026431
[RUN] rank030_GWHPBECS023845
[RUN] rank031_GWHPBECS019368
[RUN] rank032_GWHPBECS041248
[RUN] rank033_GWHPBECS023844
[RUN] rank034_GWHPBECS019467
[RUN] rank035_GWHPBECS039808
[RUN] rank036_GWHPBECS011414
[RUN] rank037_GWHPBECS041210
[RUN] rank038_GWHPBECS039781
[RUN] rank039_GWHPBECS041253
[RUN] rank040_GWHPBECS026448
[RUN] rank041_GWHPBECS041245
[RUN] rank042_GWHPBECS041247
[RUN] rank043_GWHPBECS041246
[RUN] rank044_GWHPBECS014754
[RUN] rank045_GWHPBECS026466
[RUN] rank046_GWHPBECS019985
[RUN] rank047_GWHPBECS039807
[RUN] rank048_GWHPBECS019398
[RUN] rank049_GWHPBECS039312
[RUN] rank050_GWHPBECS026452
[RUN] rank051_GWHPBECS039310
[RUN] rank052_GWHPBECS023839
[RUN] rank053_GWHPBECS039792
[RUN] rank054_GWHPBECS019468
[RUN] rank055_GWHPBECS039787
[RUN] rank056_GWHPBECS041167
[RUN] rank057_GWHPBECS026435
[RUN] rank058_GWHPBECS042661
[RUN] rank059_GWHPBECS039789
[RUN] rank060_GWHPBECS041209
[RUN] rank061_GWHPBECS039311
[RUN] rank062_GWHPBECS023914
[RUN] rank063_GWHPBECS010871
[RUN] rank064_GWHPBECS026429
[RUN] rank065_GWHPBECS011179
[RUN] rank066_GWHPBECS010870
[RUN] rank067_GWHPBECS041207
[RUN] rank068_GWHPBECS026436
[RUN] rank069_GWHPBECS010789
[RUN] rank070_GWHPBECS006410
[RUN] rank071_GWHPBECS039799
[RUN] rank072_GWHPBECS019993
[RUN] rank073_GWHPBECS005716
[RUN] rank074_GWHPBECS039786
[RUN] rank075_GWHPBECS026013
[RUN] rank076_GWHPBECS019981
[RUN] rank077_GWHPBECS023837
[RUN] rank078_GWHPBECS039811
[RUN] rank079_GWHPBECS023850
[RUN] rank080_GWHPBECS013157
[RUN] rank081_GWHPBECS034414
[RUN] rank082_GWHPBECS005886
[RUN] rank083_GWHPBECS005717
[RUN] rank084_GWHPBECS039817
[RUN] rank085_GWHPBECS010867
[RUN] rank086_GWHPBECS012285
[RUN] rank087_GWHPBECS012286
[RUN] rank088_GWHPBECS023852
[RUN] rank089_GWHPBECS013743
[RUN] rank090_GWHPBECS005108
[RUN] rank091_GWHPBECS012315
[RUN] rank092_GWHPBECS026493
[RUN] rank093_GWHPBECS005718
[RUN] rank094_GWHPBECS025961
[RUN] rank095_GWHPBECS041382
[RUN] rank096_GWHPBECS025373
[RUN] rank097_GWHPBECS013088
[RUN] rank098_GWHPBECS028344
[RUN] rank099_GWHPBECS019951
[RUN] rank100_GWHPBECS025958
[RUN] rank101_GWHPBECS012442
[RUN] rank102_GWHPBECS005721
[RUN] rank103_GWHPBECS041304
[RUN] rank104_GWHPBECS012324
[RUN] rank105_GWHPBECS013089
[RUN] rank106_GWHPBECS025966
[RUN] rank107_GWHPBECS010868
[RUN] rank108_GWHPBECS014891
[RUN] rank109_GWHPBECS026007
[RUN] rank110_GWHPBECS026010
[RUN] rank111_GWHPBECS007006
[RUN] rank112_GWHPBECS025037
[RUN] rank113_GWHPBECS007575
[RUN] rank114_GWHPBECS026009
[RUN] rank115_GWHPBECS012284
[RUN] rank116_GWHPBECS006520
[RUN] rank117_GWHPBECS041305
[RUN] rank118_GWHPBECS026005
[RUN] rank119_GWHPBECS026453
[RUN] rank120_GWHPBECS010761
[RUN] rank121_GWHPBECS012437
[RUN] rank122_GWHPBECS012322
[RUN] rank123_GWHPBECS010760
[RUN] rank124_GWHPBECS004330
[RUN] rank125_GWHPBECS034731
[RUN] rank126_GWHPBECS009693
[RUN] rank127_GWHPBECS002895
[RUN] rank128_GWHPBECS015470
[RUN] rank129_GWHPBECS024319
[RUN] rank130_GWHPBECS026447
[RUN] rank131_GWHPBECS007574
[RUN] rank132_GWHPBECS030111
[RUN] rank133_GWHPBECS026441
[RUN] rank134_GWHPBECS005379
[RUN] rank135_GWHPBECS026438
[RUN] rank136_GWHPBECS012488
[RUN] rank137_GWHPBECS040946
[RUN] rank138_GWHPBECS012298
[RUN] rank139_GWHPBECS010875
[RUN] rank140_GWHPBECS011561
[RUN] rank141_GWHPBECS041598
[RUN] rank142_GWHPBECS010874
[RUN] rank143_GWHPBECS012282
[RUN] rank144_GWHPBECS013075
[RUN] rank145_GWHPBECS040957
[RUN] rank146_GWHPBECS004648
[RUN] rank147_GWHPBECS013084
[RUN] rank148_GWHPBECS036196
[RUN] rank149_GWHPBECS013085
[RUN] rank150_GWHPBECS026461
[RUN] rank151_GWHPBECS026006
[RUN] rank152_GWHPBECS013156
[RUN] rank153_GWHPBECS010872
[RUN] rank154_GWHPBECS012121
[RUN] rank155_GWHPBECS019983
[RUN] rank156_GWHPBECS018535
[RUN] rank157_GWHPBECS013082
[RUN] rank158_GWHPBECS013070
[RUN] rank159_GWHPBECS036889
[RUN] rank160_GWHPBECS011560
[RUN] rank161_GWHPBECS013067
[RUN] rank162_GWHPBECS034593
[RUN] rank163_GWHPBECS026464
[RUN] rank164_GWHPBECS013074
[RUN] rank165_GWHPBECS013087
[RUN] rank166_GWHPBECS026810
[RUN] rank167_GWHPBECS005719
[RUN] rank168_GWHPBECS016597
[RUN] rank169_GWHPBECS039806
[RUN] rank170_GWHPBECS013069
[RUN] rank171_GWHPBECS015068
[RUN] rank172_GWHPBECS012288
[RUN] rank173_GWHPBECS041038
[RUN] rank174_GWHPBECS041332
[RUN] rank175_GWHPBECS012287
[RUN] rank176_GWHPBECS010756
[RUN] rank177_GWHPBECS004454
[RUN] rank178_GWHPBECS025353
[RUN] rank179_GWHPBECS008682
[RUN] rank180_GWHPBECS004661
[RUN] rank181_GWHPBECS019994
[RUN] rank182_GWHPBECS007003
[RUN] rank183_GWHPBECS019871
[RUN] rank184_ON569258
[RUN] rank185_GWHPBECS012325
[RUN] rank186_GWHPBECS002781
[RUN] rank187_GWHPBECS026592
[RUN] rank188_GWHPBECS020861
[RUN] rank189_GWHPBECS034592
[RUN] rank190_GWHPBECS026589
[RUN] rank191_GWHPBECS039809
[RUN] rank192_GWHPBECS039788
[RUN] rank193_GWHPBECS019961
[RUN] rank194_GWHPBECS012328
[RUN] rank195_GWHPBECS004647
[RUN] rank196_GWHPBECS004456
[RUN] rank197_GWHPBECS006544
[RUN] rank198_GWHPBECS019953
[RUN] rank199_GWHPBECS002782
[RUN] rank200_GWHPBECS041035
Done. See md_analysis_all/tables/batch_analysis_status.csv
