sequence_hash,protein_id,header,raw_length,esmc_length,embedding_dim,embedding_shape,embedding_dtype,embedding_path,model_path,status,error
410f1ee5fc15bd0258d67a571e86746ce7d8090aa040785ca6d699eff372fdaf,,ON569258,433,433,1152,433x1152,float16,embeddings/410f1ee5fc15bd0258d67a571e86746ce7d8090aa040785ca6d699eff372fdaf.pt,/data/jnz/esmc-600m/data/weights/esmc_600m_2024_12_v0.pth,ok,
b9fe66df120181864c272cbbd9c5e0605358d2fc1bc643a4a8a1c725e9532aaf,,"GWHPBECS000042	mRNA=GWHTBECS000042	Gene=GWHGBECS000042	Position=GWHBECS00000001: 4639573-4639578, 4639993-4640282, 4640365-4640560, 4640665-4640781, 4640883-4640940, 4641015-4641063, 4641204-4641369, 4641460-4641593, 4641681-4641906, 4641989-4642116, 4642189-4642265, 4642348-4642508, 4642590-4642796, 4642874-4642971, 4643002-4643059, 4643142-4643285, 4643361-4643543, 4643633-4643692: +	Frame=0	OriID=Ebr01G000420.1	OriTrascriptID=Ebr01G000420.1	transl_table=1	OriGeneID=Ebr01G000420	OriSeqID=Chr01",785,785,1152,785x1152,float16,embeddings/b9fe66df120181864c272cbbd9c5e0605358d2fc1bc643a4a8a1c725e9532aaf.pt,/data/jnz/esmc-600m/data/weights/esmc_600m_2024_12_v0.pth,ok,
130f82948d2dd4bd095d3894558f0a78d644dc81f820241b28068e6c9bb9ff3d,,"GWHPBECS000096	mRNA=GWHTBECS000096	Gene=GWHGBECS000096	Position=GWHBECS00000001: 8418891-8419274, 8419367-8419448, 8444857-8445005, 8452097-8452155, 8452604-8452694, 8452832-8453033, 8453147-8453238, 8453311-8453388, 8453499-8453585, 8463849-8463916, 8463998-8464121: -	Frame=0	OriID=Ebr01G000960.1	OriTrascriptID=Ebr01G000960.1	transl_table=1	OriGeneID=Ebr01G000960	OriSeqID=Chr01",471,471,1152,471x1152,float16,embeddings/130f82948d2dd4bd095d3894558f0a78d644dc81f820241b28068e6c9bb9ff3d.pt,/data/jnz/esmc-600m/data/weights/esmc_600m_2024_12_v0.pth,ok,
68d500c7299aab586d7c020bc63c2df4c0cb159968b96000303e0c3a37fe25ff,,"GWHPBECS000143	mRNA=GWHTBECS000143	Gene=GWHGBECS000143	Position=GWHBECS00000001: 10538742-10538880, 10540357-10540446, 10541324-10541453, 10542829-10543016, 10543047-10543145, 10551495-10551850, 10551882-10552038, 10552097-10552239: +	Frame=0	OriID=Ebr01G001430.1	OriTrascriptID=Ebr01G001430.1	transl_table=1	OriGeneID=Ebr01G001430	OriSeqID=Chr01",433,433,1152,433x1152,float16,embeddings/68d500c7299aab586d7c020bc63c2df4c0cb159968b96000303e0c3a37fe25ff.pt,/data/jnz/esmc-600m/data/weights/esmc_600m_2024_12_v0.pth,ok,
923236de556fde92c9bccd4ba2ed0539e3c560d3e8b1f4aa5389d49845b919f1,,GWHPBECS000169	mRNA=GWHTBECS000169	Gene=GWHGBECS000169	Position=GWHBECS00000001: 12775666-12776727: +	Frame=0	OriID=Ebr01G001690.1	OriTrascriptID=Ebr01G001690.1	transl_table=1	OriGeneID=Ebr01G001690	OriSeqID=Chr01,353,353,1152,353x1152,float16,embeddings/923236de556fde92c9bccd4ba2ed0539e3c560d3e8b1f4aa5389d49845b919f1.pt,/data/jnz/esmc-600m/data/weights/esmc_600m_2024_12_v0.pth,ok,
8a99f712cca633bf479cc184efe7603db1a806db63e8fd43cc9012722d669418,,"GWHPBECS000407	mRNA=GWHTBECS000407	Gene=GWHGBECS000407	Position=GWHBECS00000001: 33146835-33147035, 33164507-33164604, 33166276-33166372: +	Frame=0	OriID=Ebr01G004070.1	OriTrascriptID=Ebr01G004070.1	transl_table=1	OriGeneID=Ebr01G004070	OriSeqID=Chr01",131,131,1152,131x1152,float16,embeddings/8a99f712cca633bf479cc184efe7603db1a806db63e8fd43cc9012722d669418.pt,/data/jnz/esmc-600m/data/weights/esmc_600m_2024_12_v0.pth,ok,
aac546577b74655e1a630bd7899f3b30a50a4c0c5754f6bc2494d0ed418cbf36,,"GWHPBECS000444	mRNA=GWHTBECS000444	Gene=GWHGBECS000444	Position=GWHBECS00000001: 36336477-36336959, 36337123-36337479, 36337512-36337724: -	Frame=0	OriID=Ebr01G004440.1	OriTrascriptID=Ebr01G004440.1	transl_table=1	OriGeneID=Ebr01G004440	OriSeqID=Chr01",350,350,1152,350x1152,float16,embeddings/aac546577b74655e1a630bd7899f3b30a50a4c0c5754f6bc2494d0ed418cbf36.pt,/data/jnz/esmc-600m/data/weights/esmc_600m_2024_12_v0.pth,ok,
9aa36042d645cd4a6a6edec54d17d00a182fb61e6526c5db4f467be20b7f4a1c,,"GWHPBECS000445	mRNA=GWHTBECS000445	Gene=GWHGBECS000445	Position=GWHBECS00000001: 36388021-36388512, 36388591-36388940, 36421904-36422027: -	Frame=0	OriID=Ebr01G004450.1	OriTrascriptID=Ebr01G004450.1	transl_table=1	OriGeneID=Ebr01G004450	OriSeqID=Chr01",321,321,1152,321x1152,float16,embeddings/9aa36042d645cd4a6a6edec54d17d00a182fb61e6526c5db4f467be20b7f4a1c.pt,/data/jnz/esmc-600m/data/weights/esmc_600m_2024_12_v0.pth,ok,
0e87619856ca1499349947ef3dc932e4b157aa3cdc09e5e52c29e27cd3602dec,,"GWHPBECS000577	mRNA=GWHTBECS000577	Gene=GWHGBECS000577	Position=GWHBECS00000001: 48631165-48631231, 48632536-48632682, 48632771-48632861, 48633033-48633161, 48633258-48633478, 48633549-48633664, 48638803-48639061, 48639158-48639245, 48639367-48639438, 48639542-48639617, 48640481-48640539, 48640625-48640688, 48640788-48640922: -	Frame=0	OriID=Ebr01G005770.1	OriTrascriptID=Ebr01G005770.1	transl_table=1	OriGeneID=Ebr01G005770	OriSeqID=Chr01",507,507,1152,507x1152,float16,embeddings/0e87619856ca1499349947ef3dc932e4b157aa3cdc09e5e52c29e27cd3602dec.pt,/data/jnz/esmc-600m/data/weights/esmc_600m_2024_12_v0.pth,ok,
1ea0fbcb856f1aaf147d851893142cd5d720db39569466d01e8c0cf17bc82ebc,,"GWHPBECS000578	mRNA=GWHTBECS000578	Gene=GWHGBECS000578	Position=GWHBECS00000001: 48774497-48774743, 48775291-48775381, 48775464-48775551, 48775649-48775677, 48775781-48776001, 48777105-48777220, 48777332-48777590, 48777681-48777768, 48778031-48778102, 48778188-48778263, 48778347-48778399, 48778570-48778633, 48778725-48778871: -	Frame=0	OriID=Ebr01G005780.1	OriTrascriptID=Ebr01G005780.1	transl_table=1	OriGeneID=Ebr01G005780	OriSeqID=Chr01",516,516,1152,516x1152,float16,embeddings/1ea0fbcb856f1aaf147d851893142cd5d720db39569466d01e8c0cf17bc82ebc.pt,/data/jnz/esmc-600m/data/weights/esmc_600m_2024_12_v0.pth,ok,
f7a54cb0f6ee1df4e1b7b984fede5988e9abb20804ad941042346f9d13e85b5a,,"GWHPBECS000624	mRNA=GWHTBECS000624	Gene=GWHGBECS000624	Position=GWHBECS00000001: 55768515-55768598, 55768706-55768994, 55769100-55769285, 55769367-55769476, 55771132-55771213, 55783042-55783277, 55783411-55783531, 55784784-55784839, 55785924-55785997, 55786385-55786431, 55786526-55786575, 55794153-55794215, 55797747-55797827, 55797987-55798097, 55798215-55798290, 55798695-55798837, 55799019-55799092, 55799214-55799316, 55799431-55799523: +	Frame=0	OriID=Ebr01G006240.1	OriTrascriptID=Ebr01G006240.1	transl_table=1	OriGeneID=Ebr01G006240	OriSeqID=Chr01",692,692,1152,692x1152,float16,embeddings/f7a54cb0f6ee1df4e1b7b984fede5988e9abb20804ad941042346f9d13e85b5a.pt,/data/jnz/esmc-600m/data/weights/esmc_600m_2024_12_v0.pth,ok,
